PSC;NAZEV;PLATI_OD;PLATI_DO
270 04;Hořesedly;01.07.2011 00:00:00;
270 06;Kounov u Rakovníka;01.07.2011 00:00:00;
270 07;Mutějovice;01.07.2011 00:00:00;
270 08;Hředle;01.07.2011 00:00:00;
270 09;Krupá;01.07.2011 00:00:00;
270 21;Pavlíkov;01.07.2011 00:00:00;
270 23;Křivoklát;01.07.2011 00:00:00;
270 24;Zbečno;01.07.2011 00:00:00;
270 31;Senomaty;01.07.2011 00:00:00;
270 32;Oráčov;01.07.2011 00:00:00;
270 33;Jesenice u Rakovníka;01.07.2011 00:00:00;
270 34;Čistá u Rakovníka;01.07.2011 00:00:00;
270 35;Petrovice u Rakovníka;01.07.2011 00:00:00;
270 36;Lubná u Rakovníka;01.07.2011 00:00:00;
270 41;Slabce;01.07.2011 00:00:00;
270 42;Skryje u Rakovníka;01.07.2011 00:00:00;
270 51;Lužná v Čechách;01.07.2011 00:00:00;
270 52;Lišany u Rakovníka;01.07.2011 00:00:00;
270 53;Krušovice;01.07.2011 00:00:00;
270 54;Řevničov;01.07.2011 00:00:00;
270 55;Pochvalov;01.07.2011 00:00:00;
270 61;Lány;01.07.2011 00:00:00;
270 62;Rynholec;01.07.2011 00:00:00;
270 64;Mšec;01.07.2011 00:00:00;
270 65;Srbeč;01.07.2011 00:00:00;
271 01;Nové Strašecí;01.07.2011 00:00:00;
272 01;Kladno 1;01.07.2011 00:00:00;
272 03;Kladno 3;01.07.2011 00:00:00;
272 04;Kladno 4;01.07.2011 00:00:00;
273 01;Kamenné Žehrovice;01.07.2011 00:00:00;
273 02;Tuchlovice;01.07.2011 00:00:00;
273 03;Stochov;01.07.2011 00:00:00;
273 04;Kačice;01.07.2011 00:00:00;
273 05;Smečno;01.07.2011 00:00:00;
273 06;Libušín;01.07.2011 00:00:00;
273 07;Vinařice u Kladna;01.07.2011 00:00:00;
273 08;Pchery;01.07.2011 00:00:00;
273 09;Kladno 7;01.07.2011 00:00:00;
273 21;Hobšovice;01.07.2011 00:00:00;
273 22;Hospozín;01.07.2011 00:00:00;
273 23;Černuc;01.07.2011 00:00:00;
273 24;Velvary;01.07.2011 00:00:00;
273 25;Zvoleněves;01.07.2011 00:00:00;
273 26;Olovnice;01.07.2011 00:00:00;
273 27;Otvovice;01.07.2011 00:00:00;
273 28;Zákolany;01.07.2011 00:00:00;
273 29;Koleč;01.07.2011 00:00:00;
273 41;Brandýsek;01.07.2011 00:00:00;
273 42;Stehelčeves;01.07.2011 00:00:00;
273 43;Buštěhrad;01.07.2011 00:00:00;
273 45;Hřebeč;01.07.2011 00:00:00;
273 51;Unhošť;01.07.2011 00:00:00;
273 53;Hostouň u Prahy;01.07.2011 00:00:00;
273 54;Lidice;01.07.2011 00:00:00;
273 61;Velká Dobrá;01.07.2011 00:00:00;
273 62;Družec;01.07.2011 00:00:00;
273 63;Bratronice;01.07.2011 00:00:00;
273 64;Doksy u Kladna;01.07.2011 00:00:00;
273 71;Zlonice;01.07.2011 00:00:00;
273 72;VM Šlapanice;01.07.2011 00:00:00;
273 73;Vraný u Slaného;01.07.2011 00:00:00;
273 74;Klobuky v Čechách;01.07.2011 00:00:00;
273 75;Třebíz;01.07.2011 00:00:00;
273 76;Pozdeň;01.07.2011 00:00:00;
273 77;Malíkovice;01.07.2011 00:00:00;
273 78;Řisuty;01.07.2011 00:00:00;
273 79;Tuřany u Slaného;01.07.2011 00:00:00;
274 01;Slaný 1;01.07.2011 00:00:00;
276 01;Mělník 1;01.07.2011 00:00:00;
277 01;Dolní Beřkovice;01.07.2011 00:00:00;
277 03;Horní Počaply;01.07.2011 00:00:00;
277 04;Cítov;01.07.2011 00:00:00;
277 05;Spomyšl;01.07.2011 00:00:00;
277 06;Lužec nad Vltavou;01.07.2011 00:00:00;
